group,object,title
Приобретение и монтаж технологического оборудования (Куст 45),"[['Обустройство кустовой площадки (Куст 45)', '1 подэтап (Куст 45)', 'Приобретение и монтаж технологического оборудования (Куст 45)']]",2
Приобретение и монтаж технологического оборудования (Куст 5),"[['Обустройство кустовой площадки (Куст 5)', '1 подэтап (Куст 5)', 'Приобретение и монтаж технологического оборудования (Куст 5)']]",2
Приобретение и монтаж технологического оборудования (Куст 57),"['Строительство нефтесборных сетей (Куст 45)', 'Обустройство кустовой площадки (Куст 57)', 'Приобретение и монтаж технологического оборудования (Куст 57)']",1
Приобретение и монтаж технологического оборудования (Куст 68),"['Строительство нефтесборных сетей (Куст 45)', 'Обустройство кустовой площадки (Куст 68)', 'Приобретение и монтаж технологического оборудования (Куст 68)']",2
Приобретение и монтаж технологического оборудования (Куст 69),"[['Обустройство кустовой площадки (Куст 69)', '1 подэтап (Куст 69)', 'Приобретение и монтаж технологического оборудования (Куст 69)']]",2
Приобретение и монтаж технологического оборудования (Куст 69),"[['Обустройство кустовой площадки (Куст 69)', '7 подэтап (Куст 69)', 'Приобретение и монтаж технологического оборудования (Куст 69)']]",1
Приобретение и монтаж технологического оборудования (Куст 70),"[['Обустройство кустовой площадки (Куст 70)', '1 подэтап (Куст 70)', 'Приобретение и монтаж технологического оборудования (Куст 70)']]",2
Приобретение и монтаж технологического оборудования (Куст 70),"[['Обустройство кустовой площадки (Куст 70)', '7 подэтап (Куст 70)', 'Приобретение и монтаж технологического оборудования (Куст 70)']]",1
Приобретение и монтаж технологического оборудования (Куст 71),"[['Обустройство кустовой площадки (Куст 71)', '1 подэтап (Куст 71)', 'Приобретение и монтаж технологического оборудования (Куст 71)']]",3
Приобретение и монтаж технологического оборудования (Куст 72),"[['Обустройство кустовой площадки (Куст 72)', '1 подэтап (Куст 72)', 'Приобретение и монтаж технологического оборудования (Куст 72)']]",1
Приобретение и монтаж технологического оборудования (Куст 72),"[['Обустройство кустовой площадки (Куст 72)', '7 подэтап (Куст 72)', 'Приобретение и монтаж технологического оборудования (Куст 72)']]",1
Приобретение и монтаж технологического оборудования (Куст 73),"[['Обустройство кустовой площадки (Куст 73)', '1 подэтап (Куст 73)', 'Приобретение и монтаж технологического оборудования (Куст 73)']]",1
Приобретение и монтаж технологического оборудования (Куст 74),"[['Обустройство кустовой площадки (Куст 74)', '1 подэтап (Куст 74)', 'Приобретение и монтаж технологического оборудования (Куст 74)']]",2
Приобретение и монтаж технологического оборудования (Куст 75),"['Строительство нефтесборных сетей (Куст 57)', 'Обустройство кустовой площадки (Куст 75)', 'Приобретение и монтаж технологического оборудования (Куст 75)']",1
Приобретение и монтаж технологического оборудования (Куст 75),"[['Обустройство кустовой площадки (Куст75)', '1 подэтап (Куст 75)', 'Приобретение и монтаж технологического оборудования (Куст 75)']]",1
Приобретение и монтаж технологического оборудования (Куст 8),"[['Обустройство кустовой площадки (Куст 8)', '1 подэтап (Куст 8)', 'Приобретение и монтаж технологического оборудования (Куст 8)']]",2
Приобретение и монтаж технологического оборудования узла приема  очистного устройства (водовод) (Куст 71),"[['Строительство нефтесборных сетей (Куст 71)', 'Узлы пуска-приема СОД (Куст 71), узел 23(75)', 'Приобретение и монтаж технологического оборудования узла приема  очистного устройства (водовод) (Куст 71)']]",2
Приобретение и монтаж технологического оборудования узла приема очистного устройства (нефтегазопровод) (Куст 45),"[['Строительство нефтесборных сетей (Куст 45)', 'Узлы пуска-приема СОД (Куст 45)', 'Приобретение и монтаж технологического оборудования узла приема очистного устройства (нефтегазопровод) (Куст 45)']]",1
Приобретение и монтаж технологического оборудования узла приема очистного устройства (нефтегазопровод) (Куст 5),"[['Строительство нефтесборных сетей (Куст 5)', 'Узлы пуска-приема СОД (Куст 5)', 'Приобретение и монтаж технологического оборудования узла приема очистного устройства (нефтегазопровод) (Куст 5)']]",1
"Приобретение и монтаж технологического оборудования узла пуска очистного устройства (нефтегазопровод) (Куст 7, узел 1/53)","[['Строительство нефтесборного коллектора (Куст 7)', 'Узлы пуска-приема СОД нефтесборного коллектора (Куст 7)', 'Приобретение и монтаж технологического оборудования узла пуска очистного устройства (нефтегазопровод) (Куст 7, узел 1/53)']]",3
"Приобретение и монтаж технологического оборудования узла пуска очистного устройства (нефтегазопровод) (Куст 7, узел 7/59)","[['Строительство нефтесборного коллектора (Куст 7)', 'Узлы пуска-приема СОД нефтесборного коллектора (Куст 7)', 'Приобретение и монтаж технологического оборудования узла пуска очистного устройства (нефтегазопровод) (Куст 7, узел 7/59)']]",4
Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 26),"[['Строительство нефтесборных сетей (Куст 26)', 'Узлы пуска-приема СОД (Куст 26). Узел 27/78', 'Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 26)']]",5
Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 27),"['Строительство нефтесборных сетей (Куст 27)', 'Коридор коммуникаций (Куст 27)', 'Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 27)']",6
Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 45),"['Строительство нефтесборных сетей (Куст 45)', 'Коридор коммуникаций (Куст 45)', 'Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 45)']",4
Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 45),"[['Строительство нефтесборных сетей (Куст 45)', 'Узлы пуска-приема СОД (Куст 45)', 'Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 45)']]",3
"Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 7, узел 5/57)","[['Строительство нефтесборного коллектора (Куст 7)', 'Узлы пуска-приема СОД нефтесборного коллектора (Куст 7)', 'Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 7, узел 5/57)']]",8
Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 72),"['Строительство нефтегазопровода от К70 до т.вр. К71', 'Строительство нефтесборных сетей (Куст 72)', 'Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 72)']",2
Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 72),"[['Строительство нефтесборных сетей (Куст 72)', 'Узлы пуска-приема СОД (Куст 72)', 'Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 72)']]",1
Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод). Ду219х8 (Куст 57),"['Строительство нефтесборных сетей (Куст 45)', 'Обустройство кустовой площадки (Куст 57)', 'Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод). Ду219х8 (Куст 57)']",1
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4 кВ, площадки электрооборудования ЭЦН (Куст 45)","[['Обустройство кустовой площадки (Куст 45)', '2 подэтап (Куст 45)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4 кВ, площадки электрооборудования ЭЦН (Куст 45)']]",2
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4 кВ, площадки электрооборудования ЭЦН (Куст 5)","[['Обустройство кустовой площадки (Куст 5)', '2 подэтап (Куст 5)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4 кВ, площадки электрооборудования ЭЦН (Куст 5)']]",3
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 138)","[['Обустройство кустовой площадки (Куст 138)', '1 подэтап (Куст 138)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 138)']]",15
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 1БИС)","[['Обустройство кустовой площадки (Куст 1БИС)', '1 подэтап (Куст 1БИС)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 1БИС)']]",7
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 26)","['Строительство нефтесборных сетей (Куст 8)', 'Обустройство кустовой площадки (Куст 26)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 26)']",6
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 27)","['Строительство нефтесборных сетей (Куст 8)', 'Обустройство кустовой площадки (Куст 27)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 27)']",4
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 27)","[['Обустройство кустовой площадки (Куст 27)', '1 подэтап (Куст 27)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 27)']]",3
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 28)","[['Обустройство кустовой площадки (Куст 28)', '1 подэтап (Куст 28)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 28)']]",6
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 28)","[['Обустройство кустовой площадки (Куст 5)', '1 подэтап (Куст 5)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 28)']]",2
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 29)","[['Обустройство куста скважин (Куст 29)', 'Подэтап 1 (Куст 29)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 29)']]",3
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 34)","[['Обустройство кустовой площадки (Куст 34)', '1 подэтап (Куст 34)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 34)']]",6
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 35)","[['Обустройство кустовой площадки (Куст 35)', '1 подэтап (Куст 35)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 35)']]",5
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 37)","[['Обустройство кустовой площадки (Куст 37)', '1 подэтап (Куст 37)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 37)']]",9
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 45)","['Строительство нефтесборных сетей (Куст 28)', 'Обустройство кустовой площадки (Куст 45)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 45)']",2
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 45)","[['Обустройство кустовой площадки (Куст 45)', '1 подэтап (Куст 45)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 45)']]",1
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 5)","[['Обустройство кустовой площадки (Куст 5)', '1 подэтап (Куст 5)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 5)']]",5
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 5)","[['Обустройство кустовой площадки (Куст 5)', '3 подэтап (Куст 5)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 5)']]",5
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 57)","['Строительство нефтесборных сетей (Куст 28)', 'Обустройство кустовой площадки (Куст 57)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 57)']",1
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 57)","['Строительство нефтесборных сетей (Куст 45)', 'Обустройство кустовой площадки (Куст 57)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 57)']",5
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 57)","[['Обустройство кустовой площадки (Куст 57)', '1 подэтап (Куст 57)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 57)']]",10
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 68)","['Строительство нефтесборных сетей (Куст 45)', 'Обустройство кустовой площадки (Куст 68)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 68)']",1
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 69)","[['Обустройство кустовой площадки (Куст 69)', '1 подэтап (Куст 69)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 69)']]",12
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 7)","[['Обустройство кустовой площадки (Куст 7)', '1 подэтап (Куст 7)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 7)']]",7
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 71)","[['Обустройство кустовой площадки (Куст 71)', '1 подэтап (Куст 71)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 71)']]",7
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 72)","[['Обустройство кустовой площадки (Куст 72)', '1 подэтап (Куст 72)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 72)']]",15
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 73)","[['Обустройство кустовой площадки (Куст 73)', '1 подэтап (Куст 73)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 73)']]",8
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 74)","[['Обустройство кустовой площадки (Куст 74)', '1 подэтап (Куст 74)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 74)']]",3
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 75)","[['Обустройство кустовой площадки (Куст 75)', '1 подэтап (Куст 75)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 75)']]",5
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 8)","[['Обустройство кустовой площадки (Куст 8)', '1 подэтап (Куст 8)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 8)']]",5
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 8)","[['Обустройство кустовой площадки (Куст 8)', '4 подэтап (Куст 8)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 8)']]",3
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)","[['Обустройство кустовой площадки (Куст 138)', '1 подэтап (Куст 138)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)']]",6
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)","[['Обустройство кустовой площадки (Куст 138)', '2 подэтап (Куст 138)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)']]",5
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)","[['Обустройство кустовой площадки (Куст 138)', '3 подэтап (Куст 138)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)']]",4
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)","[['Обустройство кустовой площадки (Куст 138)', '4 подэтап (Куст 138)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)']]",6
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)","[['Обустройство кустовой площадки (Куст 138)', '5 подэтап (Куст 138)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)']]",3
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)","[['Обустройство кустовой площадки (Куст 138)', '6 подэтап (Куст 138)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)']]",5
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)","[['Обустройство кустовой площадки (Куст 138)', '7 подэтап (Куст 138)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)']]",6
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)","[['Обустройство кустовой площадки (Куст 138)', '8 подэтап (Куст 138)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)']]",1
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 1БИС)","[['Обустройство кустовой площадки (Куст 1БИС)', '1 подэтап (Куст 1БИС)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 1БИС)']]",13
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 1БИС)","[['Обустройство кустовой площадки (Куст 1БИС)', '2 подэтап (Куст 1БИС)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 1БИС)']]",7
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 1БИС)","[['Обустройство кустовой площадки (Куст 1БИС)', '3 подэтап (Куст 1БИС)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 1БИС)']]",1
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 1БИС)","[['Обустройство кустовой площадки (Куст 1БИС)', '4 подэтап (Куст 1БИС)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 1БИС)']]",4
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 26)","['Строительство нефтесборных сетей (Куст 8)', 'Обустройство кустовой площадки (Куст 26)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 26)']",4
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 27)","['Строительство нефтесборных сетей (Куст 8)', 'Обустройство кустовой площадки (Куст 27)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 27)']",10
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 27)","[['Обустройство кустовой площадки (Куст 27)', '1 подэтап (Куст 27)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 27)']]",6
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 27)","[['Обустройство кустовой площадки (Куст 27)', '2 подэтап (Куст 27)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 27)']]",9
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 27)","[['Обустройство кустовой площадки (Куст 27)', '3 подэтап (Куст 27)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 27)']]",5
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 27)","[['Обустройство кустовой площадки (Куст 27)', '4 подэтап (Куст 27)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 27)']]",4
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 27)","[['Обустройство кустовой площадки (Куст 8)', '4 подэтап (Куст 8)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 27)']]",1
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 28)","['Строительство нефтесборных сетей (Куст 27)', 'Обустройство кустовой площадки (Куст 28)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 28)']",9
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 28)","['Строительство нефтесборных сетей (Куст 8)', 'Обустройство кустовой площадки (Куст 28)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 28)']",4
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 28)","[['Обустройство кустовой площадки (Куст 28)', '1 подэтап (Куст 28)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 28)']]",4
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 28)","[['Обустройство кустовой площадки (Куст 28)', '2 подэтап (Куст 28)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 28)']]",9
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 28)","[['Обустройство кустовой площадки (Куст 28)', '3 подэтап (Куст 28)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 28)']]",1
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 34)","[['Обустройство кустовой площадки (Куст 34)', '1 подэтап (Куст 34)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 34)']]",3
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 35)","[['Обустройство кустовой площадки (Куст 35)', '1 подэтап (Куст 35)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 35)']]",3
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 35)","[['Обустройство кустовой площадки (Куст 35)', '2 подэтап (Куст 35)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 35)']]",1
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 35)","[['Обустройство кустовой площадки (Куст 35)', '4 подэтап (Куст 35)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 35)']]",2
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 37)","[['Обустройство кустовой площадки (Куст 37)', '1 подэтап (Куст 37)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 37)']]",8
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 45)","['Строительство нефтесборных сетей (Куст 28)', 'Обустройство кустовой площадки (Куст 45)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 45)']",28
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 45)","[['Обустройство кустовой площадки (Куст 45)', '1 подэтап (Куст 45)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 45)']]",1
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 45)","[['Обустройство кустовой площадки (Куст 45)', '2 подэтап (Куст 45)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 45)']]",3
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 45)","[['Обустройство кустовой площадки (Куст 45)', '5 подэтап (Куст 45)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 45)']]",5
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 5)","[['Обустройство кустовой площадки (Куст 5)', '1 подэтап (Куст 5)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 5)']]",10
