group	file	keywords
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Виды работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Виды работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование видов и/или этапов работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование видов и/или этапов работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	СТРОК ВСЕГО
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	СТРОК 
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	 чистка
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	СТРОК 
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	 чистка
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Задействованные ресурсы
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Мобилизация персонала
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	факт
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Факт
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Начало работ по контракту
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Начало работ по контракту
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Начало работ по контракту
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	МСГ
