,Unnamed: 0,group,file,guid_count,body
5789,629,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\1. Январь\Сводки СМР за 31.01.2018\Сводка СМГ МНГИ ОБП ВЖК 31.01.2018.xlsb,1,['идентификатор guid ']
5790,618,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Январь\Сводки СМР за 31.01.2017\Сводка СМР по ЦПС 31.01.17.xlsx,1,['идентификатор guid ']
5791,656,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ_энергетика Премьерстрой_на 31.10.2018 (проект 1376П).xlsb,1,['идентификатор guid ']
5792,657,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ_энергетика Премьерстрой_на 31.10.2018 (проект 2916)..xlsb,1,['идентификатор guid ']
5793,658,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ_энергетика Премьерстрой_на 31.10.2018 (проект 853)..xlsb,1,['идентификатор guid ']
5794,686,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМГ_энергетика Премьерстрой_30.11.2018 (проект 1376)..xlsb,1,['идентификатор guid ']
5795,687,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМГ_энергетика Премьерстрой_30.11.2018 (проект 866)..xlsb,1,['идентификатор guid ']
5796,688,СМГ Мессояха,"СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМР МНГИ База ГСМ, 2,3 этап 30.11.2018.xlsb",1,['идентификатор guid ']
5797,692,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМР ПремьерСтрой ОБП РЭБ СП УЭЦН 30.11.2018.xlsb,1,['идентификатор guid ']
5798,693,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМР ПремьерСтрой ППиТБО 30.11.2018.xlsb,1,['идентификатор guid ']
