,group,file,guid_count,body
4687,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 13.01.17\СМГ ЗЛМ-ВКС-СПС 13.01.2017г Проверил инженер НТН Крухов СА..xlsx,0,
4686,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 12.01.17\СМГ Ш-ГКС-СПС 12.01.2017г проверил инженер НТН Пермяков А.В..xlsx,0,
4685,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 12.01.17\СМГ Ш- ВКС-СПС 12.01.2017г проверил инженер НТН Семянников К В.xlsx,0,
4684,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 12.01.17\СМГ ЗЛМ-ВКС-СПС 12.01.2017г Проверил инженер НТН Крухов СА..xlsx,0,
4683,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 11.01.17\СМГ Ш-ГКС-СПС 11.01.2017г проверил инженер НТН Пермяков А.В..xlsx,0,
4682,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 11.01.17\СМГ Ш- ВКС-СПС 11.01.2017г проверил инженер НТН Семянников К В.xlsx,0,
4681,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 11.01.17\СМГ ЗЛМ-ВКС-СПС 11.01.2017г Проверил инженер НТН Крухов СА..xlsx,0,
4680,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 10.01.17\СМГ Ш-ГКС-СПС 10.01.2017г проверил инженер НТН Пермяков А.В..xlsx,0,
4679,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 10.01.17\СМГ Ш- ВКС-СПС 10.01.2017г проверил инженер НТН Семянников К В.xlsx,0,
4678,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 10.01.17\СМГ ЗЛМ-ВКС-СПС 10.01.2017г Проверил инженер НТН Крухов СА..xlsx,0,
4677,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 09.01.17\СМГ Ш-ГКС-СПС 09.01.2017г проверил инженер НТН Пермяков А.В..xlsx,0,
4676,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 09.01.17\СМГ Ш- ВКС-СПС 09.01.2017г проверил инженер НТН Семянников К В.xlsx,0,
4675,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 09.01.17\СМГ ЗЛМ-ВКС-СПС 09.01.2017г Проверил инженер НТН Крухов СА..xlsx,0,
4674,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 08.01.17\СМГ Ш-ГКС-СПС 08.01.2017г проверил инженер НТН Пермяков А.В..xlsx,0,
4673,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 08.01.17\СМГ Ш- ВКС-СПС 08.01.2017г проверил инженер НТН Семянников К В.xlsx,0,
4672,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 08.01.17\СМГ ЗЛМ-ВКС-СПС 08.01.2017г Проверил инженер НТН Крухов СА..xlsx,0,
4671,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 07.01.17\СМГ Ш-ГКС-СПС 07.01.2017г проверил инженер НТН Пермяков А.В..xlsx,0,
4669,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 07.01.17\СМГ ЗЛМ-ВКС-СПС 07.01.2017г Проверил инженер НТН Крухов СА..xlsx,0,
4642,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 29.12.16\СМГ ЗЛМ-ВКС-СПС 29.12.2016г Проверил инженер НТН Крухов СА..xlsx,0,
4641,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 28.12.16\СМГ Ш-ГКС-СПС 28.12.2016г проверил инженер НТН Пермяков А.В..xlsx,0,
4640,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 28.12.16\СМГ Ш- ВКС-СПС 28.12.2016г проверил инженер НТН Семянников К В.xlsx,0,
4611,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 20.12.16\СМГ Ш-ГКС-СПС 20.12.2016г проверил инженер НТН Ерошев А.С..xlsx,0,
4610,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 20.12.16\СМГ Ш- ВКС-СПС 20.12.2016г проверил инженер НТН Семянников К.В.xlsx,0,
4609,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 20.12.16\СМГ ЗЛМ-ВКС-СПС 20.12.2016г Проверил инженер НТН Крухов СА..xlsx,0,
4608,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 20.12.16\СМГ Газопровод ВИГАС 20.12.16 г.Проверил инженер НТН Семянников К.В.xlsx,0,
4607,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 19.12.16\СМГ Ш-ГКС-СПС 19.12.2016г проверил инженер НТН Ерошев А.С..xlsx,0,
4606,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 19.12.16\СМГ Ш- ВКС-СПС 19.12.2016г проверил инженер НТН Семянников К.В.xlsx,0,
4605,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 19.12.16\СМГ ЗЛМ-ВКС-СПС 19.12.2016г Проверил инженер НТН Крухов СА..xlsx,0,
4604,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 19.12.16\СМГ Газопровод ВИГАС 19.12.16 г.Проверил инженер НТН Семянников К.В.xlsx,0,
4603,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 18.12.16\СМГ Ш-ГКС-СПС 18.12.2016г проверил инженер НТН Ерошев А.С..xlsx,0,
4602,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 18.12.16\СМГ Ш- ВКС-СПС 18.12.2016г проверил инженер НТН Семянников К.В.xlsx,0,
4601,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 18.12.16\СМГ ЗЛМ-ВКС-СПС 18.12.2016г Проверил инженер НТН Крухов СА..xlsx,0,
4600,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 18.12.16\СМГ Газопровод ВИГАС 18.12.16 г.Проверил инженер НТН Семянников К.В.xlsx,0,
4599,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 17.12.16\СМГ Ш-ГКС-СПС 17.12.2016г проверил инженер НТН Ерошев А.С..xlsx,0,
4598,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 17.12.16\СМГ Ш- ВКС-СПС 17.12.2016г проверил инженер НТН Семянников К.В.xlsx,0,
4597,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 17.12.16\СМГ ЗЛМ-ВКС-СПС 17.12.2016г Проверил инженер НТН Крухов СА..xlsx,0,
4596,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 17.12.16\СМГ Газопровод ВИГАС 17.12.16 г.Проверил инженер НТН Семянников К.В.xlsx,0,
4595,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 16.12.16\СМГ Ш-ГКС-СПС 16.12.2016г проверил инженер НТН Ерошев А.С..xlsx,0,
4594,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 16.12.16\СМГ Ш- ВКС-СПС 16.12.2016г проверил инженер НТН Семянников К.В.xlsx,0,
4593,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 16.12.16\СМГ ЗЛМ-ВКС-СПС 16.12.2016г Проверил инженер НТН Крухов СА..xlsx,0,
4592,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 16.12.16\СМГ Газопровод ВИГАС 16.12.16 г.Проверил инженер НТН Семянников К.В.xlsx,0,
4591,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 15.12.16\СМГ Ш-ГКС-СПС 15.12.2016г проверил инженер НТН Ерошев А.С..xlsx,0,
4590,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 15.12.16\СМГ Ш- ВКС-СПС 15.12.2016г проверил инженер НТН Семянников К.В.xlsx,0,
4589,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 15.12.16\СМГ ЗЛМ-ВКС-СПС 15.12.2016г Проверил инженер НТН Крухов СА..xlsx,0,
4612,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 21.12.16\СМГ Газопровод ВИГАС 21.12.16 г.Проверил инженер НТН Семянников К.В.xlsx,0,
4613,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 21.12.16\СМГ ЗЛМ-ВКС-СПС 21.12.2016г Проверил инженер НТН Крухов СА..xlsx,0,
4614,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 21.12.16\СМГ Ш- ВКС-СПС 21.12.2016г проверил инженер НТН Семянников К.В.xlsx,0,
4615,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 21.12.16\СМГ Ш-ГКС-СПС 21.12.2016г проверил инженер НТН Ерошев А.С..xlsx,0,
4639,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 28.12.16\СМГ ЗЛМ-ВКС-СПС 28.12.2016г Проверил инженер НТН Крухов СА..xlsx,0,
4638,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 27.12.16\СМГ Ш-ГКС-СПС 27.12.2016г проверил инженер НТН Пермяков А.В..xlsx,0,
4637,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 27.12.16\СМГ Ш- ВКС-СПС 27.12.2016г проверил инженер НТН Семянников К В.xlsx,0,
4636,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 27.12.16\СМГ ЗЛМ-ВКС-СПС 27.12.2016г Проверил инженер НТН Крухов СА..xlsx,0,
4635,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 26.12.16\СМГ Ш-ГКС-СПС 26.12.2016г проверил инженер НТН Ерошев А.С..xlsx,0,
